"name"	"parent_dir"	"type"	"size"
"b82631347506d6f5088157a3833d6f0606ba3c"	"objects"	"file"	59
"35"	".git"	"dir"	135
"9de0932f45e2389780e55667b885d8578f5b5c"	"objects"	"file"	135
"index"	"7_hometask_Py I_20.06.2024"	"file"	1035
"COMMIT_EDITMSG"	"7_hometask_Py I_20.06.2024"	"file"	11
"logs"	"7_hometask_Py I_20.06.2024"	"dir"	1090
"HEAD"	".git"	"file"	564
"refs"	".git"	"dir"	526
"heads"	"logs"	"dir"	368
"main"	"refs"	"file"	368
"remotes"	"logs"	"dir"	158
"origin"	"refs"	"dir"	158
"main"	"remotes"	"file"	158
"~$нспект_Погружение в Python. Часть 1_СемашкоМА.docx"	"Погружение в Python. Часть 1"	"file"	162
"Лекция 8. Погружение в Python. Сериализация.pptx.pdf"	"Погружение в Python. Часть 1"	"file"	2515942
"Лекция 8. Погружение в Python. Сериализация.docx.pdf"	"Погружение в Python. Часть 1"	"file"	437320
"seminar 8_1.py"	"Погружение в Python. Часть 1"	"file"	1017
"result1.json"	"Погружение в Python. Часть 1"	"file"	284
"seminar 8_2.py"	"Погружение в Python. Часть 1"	"file"	1602
"users.json"	"Погружение в Python. Часть 1"	"file"	145
"seminar 8_3.py"	"Погружение в Python. Часть 1"	"file"	858
"users.csv"	"Погружение в Python. Часть 1"	"file"	40
"seminar 8_4.py"	"Погружение в Python. Часть 1"	"file"	1566
"new_users.json"	"Погружение в Python. Часть 1"	"file"	321
"seminar 8_5.py"	"Погружение в Python. Часть 1"	"file"	828
"result1.pickle"	"Погружение в Python. Часть 1"	"file"	191
"users.pickle"	"Погружение в Python. Часть 1"	"file"	83
"new_users.pickle"	"Погружение в Python. Часть 1"	"file"	162
"seminar 8_6.py"	"Погружение в Python. Часть 1"	"file"	916
"new_users.csv"	"Погружение в Python. Часть 1"	"file"	154
"seminar 8_7.py"	"Погружение в Python. Часть 1"	"file"	800
"8_hometask_Py I_23.06.2024"	"Погружение в Python. Часть 1"	"dir"	10910
"Package_seminar_8"	"Погружение в Python. Часть 1"	"dir"	10910
"txt_to_json.py"	"8_hometask_Py I_23.06.2024"	"file"	1029
